code,name,year,industry
300210,森远股份,2024,S76
300211,*ST亿通,2022,S73
300211,*ST亿通,2023,S73
300211,*ST亿通,2024,S73
300212,易华录,2022,S71
300212,易华录,2023,S71
300212,易华录,2024,S71
300213,佳讯飞鸿,2022,S73
300213,佳讯飞鸿,2023,S73
300213,佳讯飞鸿,2024,S73
300214,日科化学,2022,S22
300214,日科化学,2023,S22
300214,日科化学,2024,S22
300215,电科院,2022,S46
300215,电科院,2023,S46
300215,电科院,2024,S46
300217,东方电热,2022,S33
300217,东方电热,2023,S33
300217,东方电热,2024,S33
300218,安利股份,2022,S22
300218,安利股份,2023,S22
300218,安利股份,2024,S22
300219,鸿利智汇,2022,S27
300219,鸿利智汇,2023,S27
300219,鸿利智汇,2024,S27
300220,金运激光,2022,S36
300220,金运激光,2023,S36
300220,金运激光,2024,S36
300221,银禧科技,2022,S22
300221,银禧科技,2023,S22
300221,银禧科技,2024,S22
300222,科大智能,2022,S63
300222,科大智能,2023,S63
300222,科大智能,2024,S63
300223,北京君正,2022,S27
300223,北京君正,2023,S27
300223,北京君正,2024,S27
300224,正海磁材,2022,S24
300224,正海磁材,2023,S24
300224,正海磁材,2024,S24
300225,*ST金泰,2022,S22
300225,*ST金泰,2023,S22
300225,*ST金泰,2024,S22
300226,上海钢联,2022,S71
300226,上海钢联,2023,S71
300226,上海钢联,2024,S71
300227,光韵达,2022,S64
300227,光韵达,2023,S64
300227,光韵达,2024,S64
300228,富瑞特装,2022,S64
300228,富瑞特装,2023,S64
300228,富瑞特装,2024,S64
300229,拓尔思,2022,S71
300229,拓尔思,2023,S71
300229,拓尔思,2024,S71
300230,永利股份,2022,S22
300230,永利股份,2023,S22
300230,永利股份,2024,S22
300231,银信科技,2022,S71
300231,银信科技,2023,S71
300231,银信科技,2024,S71
300232,洲明科技,2022,S27
300232,洲明科技,2023,S27
300232,洲明科技,2024,S27
300233,金城医药,2022,S37
300233,金城医药,2023,S37
300233,金城医药,2024,S37
300234,开尔新材,2022,S61
300234,开尔新材,2023,S61
300234,开尔新材,2024,S61
300235,方直科技,2022,S71
300235,方直科技,2023,S71
